district,mean_radiance,total_population,light_per_capita,rank_underserved
Malappuram,1.1309370630363689,3833299.207330462,0.29502968640529414,1
Kozhikode,1.1699088025644955,2876160.7826802833,0.4067605711090539,2
Palakkad,1.159787158533893,2616253.4734280254,0.44330076206807545,3
Kannur,1.046308750043687,2202654.1509299357,0.4750218047631069,4
Idukki,0.5286779769108391,969822.6621125521,0.5451285039671343,5
Thrissur,1.7094238482795612,2802112.799335898,0.6100481924513159,6
Kottayam,1.3662276439859997,1717667.8555188486,0.7953968746613758,7
Kollam,1.7309723858767874,2114073.083238889,0.81878549970696,8
Kasaragod,1.008873728489953,1136974.2107895054,0.8873321126513498,9
Pattanamtitta,1.0722203611034162,1175946.340151586,0.911793612083695,10
Wayanad,0.698009797059062,728348.1258165059,0.9583463900268386,11
Thiruvananthapuram,2.9801337480410575,2769505.21298468,1.0760527671400857,12
Alappuzha,2.12051577048439,1835178.653516727,1.1554819289233098,13
Ernakulam,3.4301336000362115,2905134.1525506163,1.1807143560047517,14
